architecture,round,model,precision,accuracy,loss
unu-inceptionresnetv2,1,unu-inceptionresnetv2-round1,92.59,95.1,0.1538
unu-inceptionresnetv2,2,unu-inceptionresnetv2-round2,94.34,96.08,0.193
unu-inceptionresnetv2,3,unu-inceptionresnetv2-round3,92.73,96.08,0.1685
unu-inceptionresnetv2,4,unu-inceptionresnetv2-round4,90.91,94.12,0.1777
unu-inceptionresnetv2,5,unu-inceptionresnetv2-round5,91.07,95.1,0.1492
unu-inceptionv3,1,unu-inceptionv3-round1,85.0,91.18,0.2849
unu-inceptionv3,2,unu-inceptionv3-round2,80.95,88.24,0.2856
unu-inceptionv3,3,unu-inceptionv3-round3,81.67,87.25,0.2561
unu-inceptionv3,4,unu-inceptionv3-round4,86.21,91.18,0.2066
unu-inceptionv3,5,unu-inceptionv3-round5,86.21,91.18,0.2219
unu-resnet101v2,1,unu-resnet101v2-round1,86.44,92.16,0.1451
unu-resnet101v2,2,unu-resnet101v2-round2,94.44,97.06,0.133
unu-resnet101v2,3,unu-resnet101v2-round3,92.59,95.1,0.121
unu-resnet101v2,4,unu-resnet101v2-round4,96.08,96.08,0.1283
unu-resnet101v2,5,unu-resnet101v2-round5,98.04,98.04,0.086
unu-resnet50v2,1,unu-resnet50v2-round1,92.45,94.12,0.1911
unu-resnet50v2,2,unu-resnet50v2-round2,94.34,96.08,0.1286
unu-resnet50v2,3,unu-resnet50v2-round3,87.72,92.16,0.1817
unu-resnet50v2,4,unu-resnet50v2-round4,89.47,94.12,0.2391
unu-resnet50v2,5,unu-resnet50v2-round5,89.29,93.14,0.2069
unu-vgg19,1,unu-vgg19-round1,96.23,98.04,0.114
unu-vgg19,2,unu-vgg19-round2,96.08,96.08,0.165
unu-vgg19,3,unu-vgg19-round3,96.23,98.04,0.057
unu-vgg19,4,unu-vgg19-round4,96.15,97.06,0.1457
unu-vgg19,5,unu-vgg19-round5,96.23,98.04,0.1373
unu-xception,1,unu-xception-round1,94.44,97.06,0.1143
unu-xception,2,unu-xception-round2,92.73,96.08,0.1289
unu-xception,3,unu-xception-round3,94.44,97.06,0.1286
unu-xception,4,unu-xception-round4,94.44,97.06,0.1337
unu-xception,5,unu-xception-round5,94.44,97.06,0.1522
