group1,group2,meandiff,p-adj,lower,upper,reject
unu-inceptionresnetv2,unu-inceptionv3,0.0826,0.0034,0.0225,0.1427,True
unu-inceptionresnetv2,unu-resnet101v2,-0.0458,0.2118,-0.1058,0.0143,False
unu-inceptionresnetv2,unu-resnet50v2,0.021,0.8834,-0.039,0.0811,False
unu-inceptionresnetv2,unu-vgg19,-0.0446,0.2336,-0.1047,0.0154,False
unu-inceptionresnetv2,unu-xception,-0.0369,0.4266,-0.097,0.0232,False
unu-inceptionv3,unu-resnet101v2,-0.1283,0.0,-0.1884,-0.0683,True
unu-inceptionv3,unu-resnet50v2,-0.0615,0.0425,-0.1216,-0.0015,True
unu-inceptionv3,unu-vgg19,-0.1272,0.0,-0.1873,-0.0671,True
unu-inceptionv3,unu-xception,-0.1195,0.0,-0.1796,-0.0594,True
unu-resnet101v2,unu-resnet50v2,0.0668,0.0232,0.0067,0.1269,True
unu-resnet101v2,unu-vgg19,0.0011,1.0,-0.059,0.0612,False
unu-resnet101v2,unu-xception,0.0089,0.9972,-0.0512,0.0689,False
unu-resnet50v2,unu-vgg19,-0.0657,0.0264,-0.1258,-0.0056,True
unu-resnet50v2,unu-xception,-0.0579,0.0632,-0.118,0.0021,False
unu-vgg19,unu-xception,0.0077,0.9985,-0.0523,0.0678,False
