architecture,round,model,precision,accuracy,loss
uti-inceptionresnetv2,1,uti-inceptionresnetv2-round1,90.94,89.93,0.3381
uti-inceptionresnetv2,2,uti-inceptionresnetv2-round2,91.48,90.62,0.296
uti-inceptionresnetv2,3,uti-inceptionresnetv2-round3,88.29,87.5,0.3544
uti-inceptionresnetv2,4,uti-inceptionresnetv2-round4,90.58,89.58,0.3334
uti-inceptionresnetv2,5,uti-inceptionresnetv2-round5,90.19,89.24,0.3484
uti-inceptionv3,1,uti-inceptionv3-round1,86.81,85.76,0.4307
uti-inceptionv3,2,uti-inceptionv3-round2,87.32,85.42,0.4271
uti-inceptionv3,3,uti-inceptionv3-round3,86.77,85.07,0.4284
uti-inceptionv3,4,uti-inceptionv3-round4,86.71,85.42,0.4485
uti-inceptionv3,5,uti-inceptionv3-round5,86.78,84.72,0.4547
uti-resnet101v2,1,uti-resnet101v2-round1,90.89,89.24,0.3381
uti-resnet101v2,2,uti-resnet101v2-round2,87.98,85.07,0.4015
uti-resnet101v2,3,uti-resnet101v2-round3,88.79,87.15,0.4095
uti-resnet101v2,4,uti-resnet101v2-round4,88.53,87.15,0.4095
uti-resnet101v2,5,uti-resnet101v2-round5,90.39,88.89,0.4173
uti-resnet50v2,1,uti-resnet50v2-round1,88.12,86.46,0.4297
uti-resnet50v2,2,uti-resnet50v2-round2,89.49,87.15,0.4282
uti-resnet50v2,3,uti-resnet50v2-round3,87.11,85.42,0.4456
uti-resnet50v2,4,uti-resnet50v2-round4,90.68,89.24,0.3855
uti-resnet50v2,5,uti-resnet50v2-round5,87.3,85.07,0.4467
uti-vgg19,1,uti-vgg19-round1,95.8,95.49,0.1148
uti-vgg19,2,uti-vgg19-round2,91.09,87.85,0.4316
uti-vgg19,3,uti-vgg19-round3,96.02,95.49,0.1514
uti-vgg19,4,uti-vgg19-round4,98.04,97.92,0.0705
uti-vgg19,5,uti-vgg19-round5,96.86,96.53,0.0951
uti-xception,1,uti-xception-round1,91.21,90.62,0.2883
uti-xception,2,uti-xception-round2,92.66,91.67,0.312
uti-xception,3,uti-xception-round3,91.8,89.93,0.318
uti-xception,4,uti-xception-round4,91.69,90.62,0.2942
uti-xception,5,uti-xception-round5,93.5,92.36,0.2966
