group1,group2,meandiff,p-adj,lower,upper,reject
uti-inceptionresnetv2,uti-inceptionv3,0.1038,0.1417,-0.0207,0.2284,False
uti-inceptionresnetv2,uti-resnet101v2,0.0611,0.6569,-0.0634,0.1857,False
uti-inceptionresnetv2,uti-resnet50v2,0.0931,0.2284,-0.0315,0.2176,False
uti-inceptionresnetv2,uti-vgg19,-0.1614,0.0061,-0.2859,-0.0368,True
uti-inceptionresnetv2,uti-xception,-0.0322,0.9647,-0.1568,0.0923,False
uti-inceptionv3,uti-resnet101v2,-0.0427,0.8921,-0.1672,0.0818,False
uti-inceptionv3,uti-resnet50v2,-0.0107,0.9998,-0.1353,0.1138,False
uti-inceptionv3,uti-vgg19,-0.2652,0.0,-0.3897,-0.1407,True
uti-inceptionv3,uti-xception,-0.1361,0.0266,-0.2606,-0.0115,True
uti-resnet101v2,uti-resnet50v2,0.032,0.9659,-0.0926,0.1565,False
uti-resnet101v2,uti-vgg19,-0.2225,0.0001,-0.347,-0.098,True
uti-resnet101v2,uti-xception,-0.0934,0.2257,-0.2179,0.0312,False
uti-resnet50v2,uti-vgg19,-0.2545,0.0,-0.379,-0.1299,True
uti-resnet50v2,uti-xception,-0.1253,0.0479,-0.2499,-0.0008,True
uti-vgg19,uti-xception,0.1291,0.039,0.0046,0.2537,True
